"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000040859.15",3081,2614,1965,1868,2497,2478,2226,400,402,430,432,358,422,3287,1246,1216,1281
"ENSMUSG00000000411.8",23,9,2,2,0,0,1,0,0,0,0,3,0,0,1,2,8
"ENSMUSG00000078554.3",0,3,0,3,0,1,0,0,0,0,0,0,2,2,3,1,0
"ENSMUSG00000047945.7",754,1029,552,409,832,642,925,169,177,149,330,135,130,433,99,100,166
"ENSMUSG00000028800.16",1339,1185,926,1085,1205,1220,1162,261,229,244,327,275,267,1116,278,303,229
"ENSMUSG00000000409.15",177,85,81,71,126,150,139,77,22,39,25,17,14,117,20,21,26
"ENSMUSG00000050493.9",329,190,278,415,250,269,268,55,26,44,68,44,60,133,192,238,216
"ENSMUSG00000028798.17",2881,2173,3055,4066,2506,3025,2402,855,704,706,693,721,793,2950,2107,2290,2128
"ENSMUSG00000028797.21",2621,2430,1821,1674,1964,1630,1438,328,355,345,396,302,465,2058,920,1006,1038
"ENSMUSG00000078552.11",191,79,95,116,40,41,48,18,16,6,23,13,7,72,33,50,52
"ENSMUSG00000040795.13",495,345,280,215,253,205,212,46,44,49,55,46,56,307,216,222,266
"ENSMUSG00000028795.16",185,117,142,154,104,100,105,19,22,18,30,33,28,158,120,121,159
"ENSMUSG00000053841.16",2384,1485,1089,1264,1270,1110,1133,178,193,209,253,194,222,1475,778,914,858
"ENSMUSG00000003731.14",4163,4889,1320,1241,2750,2270,2216,240,333,329,366,332,418,2739,1114,1310,1341
"ENSMUSG00000053730.16",149,84,102,144,141,106,111,28,45,28,32,20,30,152,33,29,20
"ENSMUSG00000028790.14",2706,3328,1100,1097,1359,1187,1250,315,318,325,348,319,385,1284,363,456,466
"ENSMUSG00000028788.15",10789,13388,4644,4304,6745,5350,5783,1772,1721,1640,1958,1558,1804,5555,3183,3367,3726
"ENSMUSG00000028784.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028782.15",1,2,2,2,3,0,0,0,1,1,0,0,1,0,0,1,1
"ENSMUSG00000040690.16",369,273,125,92,253,243,229,64,56,48,56,58,49,168,68,89,146
"ENSMUSG00000028779.17",1516,1265,1671,1466,1615,1711,1752,424,361,367,397,343,438,1762,337,369,359
"ENSMUSG00000028778.16",3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028776.15",1230,677,848,1121,1234,1235,1235,140,129,116,177,142,172,646,323,278,342
"ENSMUSG00000023120.10",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023232.18",177,162,359,151,226,166,274,18,84,81,69,70,93,518,19,38,19
"ENSMUSG00000028773.9",22,10,9,8,3,2,13,4,9,5,5,8,3,10,1,2,0
"ENSMUSG00000028772.20",747,494,442,430,549,508,459,203,226,225,239,238,185,668,262,266,257
"ENSMUSG00000074088.7",554,367,347,383,384,332,321,102,76,86,123,61,99,369,224,264,216
"ENSMUSG00000078532.10",13,5,3,2,2,6,4,0,0,0,0,0,1,1,1,1,5
"ENSMUSG00000028580.16",6260,4727,1365,1643,1834,1800,1569,290,340,301,281,324,329,1704,774,907,941
"ENSMUSG00000025743.15",3692,3734,2717,1113,11609,4182,8008,360,573,812,1529,397,437,7523,415,686,786
"ENSMUSG00000028581.18",1003,598,5465,3530,6254,3028,5949,774,1333,1492,1893,684,438,6022,104,158,115
"ENSMUSG00000040533.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028909.18",61,27,23,44,29,36,26,4,6,8,8,0,9,29,19,16,13
"ENSMUSG00000028910.13",1004,547,883,1088,802,679,646,246,237,212,221,210,263,904,490,545,554
"ENSMUSG00000028911.17",1857,1001,349,493,326,363,271,61,68,77,76,58,64,531,227,195,210
"ENSMUSG00000070720.5",163,102,91,72,193,253,101,23,20,11,18,27,12,137,79,118,81
"ENSMUSG00000028906.18",17284,13140,3475,6152,5580,4846,4476,888,808,924,896,785,900,6498,1007,1252,1282
"ENSMUSG00000050511.2",5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"ENSMUSG00000040025.18",2834,2458,806,891,968,954,770,217,260,233,274,255,235,1004,543,545,519
"ENSMUSG00000028901.14",856,488,258,324,352,305,285,52,59,46,74,60,68,305,115,116,105
"ENSMUSG00000028899.12",770,552,556,488,515,478,452,139,155,145,163,119,163,663,296,314,355
"ENSMUSG00000089687.3",3,9,1,0,3,1,3,0,1,0,1,0,1,0,1,0,0
"ENSMUSG00000028898.16",828,692,689,905,754,733,683,254,211,225,221,254,224,609,434,582,516
"ENSMUSG00000028896.14",393,297,338,346,598,238,458,63,76,74,130,57,41,374,186,150,158
"ENSMUSG00000066043.14",2846,1784,1175,2008,1423,1190,1299,217,224,241,212,215,215,1811,111,149,124
"ENSMUSG00000066042.5",170,84,92,171,84,98,90,27,16,19,22,24,28,94,68,90,75
"ENSMUSG00000028893.9",613,406,491,489,432,349,398,58,89,71,62,78,73,508,201,198,198
"ENSMUSG00000054428.13",462,186,715,522,497,438,556,168,211,240,197,198,201,507,191,222,280
"ENSMUSG00000054405.15",1438,1036,924,1065,929,864,852,240,277,295,305,274,278,1120,703,823,860
"ENSMUSG00000056529.8",156,152,48,40,84,107,175,17,22,25,23,23,20,96,60,134,116
"ENSMUSG00000028886.16",1506,1003,541,553,970,840,870,182,167,171,166,156,161,988,159,174,173
"ENSMUSG00000037752.5",415,259,196,261,381,374,450,85,89,60,94,67,66,410,75,67,84
"ENSMUSG00000028885.9",29,28,53,57,45,26,44,12,11,23,20,7,7,61,20,31,33
"ENSMUSG00000028884.15",225,193,260,309,258,255,262,73,77,67,99,76,96,262,208,225,223
"ENSMUSG00000037731.6",607,709,543,316,869,312,574,62,73,168,254,59,54,1142,55,107,102
"ENSMUSG00000028882.14",670,538,398,526,579,519,506,123,121,111,140,111,117,574,372,391,399
"ENSMUSG00000028879.5",1664,1529,842,916,1086,1078,1002,243,265,274,282,262,292,1047,478,497,521
"ENSMUSG00000028878.12",1096,1333,571,1166,648,670,639,161,209,210,178,269,200,836,443,457,501
"ENSMUSG00000028874.15",468,648,379,354,835,235,457,54,61,90,166,44,52,502,68,135,140
"ENSMUSG00000037692.15",1266,608,302,533,732,811,600,67,104,115,80,73,90,844,66,150,101
"ENSMUSG00000028868.14",2526,2262,879,989,2296,1860,1939,225,301,323,359,238,241,1877,139,232,307
"ENSMUSG00000049649.9",1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"ENSMUSG00000028865.15",0,0,1,6,1,0,2,1,0,2,2,3,1,0,2,0,0
"ENSMUSG00000028862.7",152,69,48,291,56,74,64,11,9,17,15,11,6,150,13,25,19
"ENSMUSG00000028860.14",402,193,404,371,381,306,382,81,117,124,67,87,146,492,152,132,232
"ENSMUSG00000028857.17",878,590,1263,1508,1000,876,1063,288,308,318,295,299,284,1000,499,571,550
"ENSMUSG00000037622.15",5991,4402,2323,3034,3783,3295,3346,689,992,763,703,762,1034,5646,882,1099,1053
"ENSMUSG00000028854.10",507,235,514,603,598,444,584,75,113,87,109,73,94,632,48,57,57
"ENSMUSG00000046694.7",4,5,3,3,2,9,3,1,1,1,2,0,0,3,6,2,1
"ENSMUSG00000056596.9",3,2,8,5,8,2,4,1,3,0,2,1,1,5,0,0,0
"ENSMUSG00000037600.17",131,64,143,395,202,176,171,20,29,23,32,41,32,171,23,20,19
"ENSMUSG00000028851.7",2221,1506,2186,2733,2146,1853,1559,730,728,777,796,734,689,2044,487,509,459
"ENSMUSG00000037583.3",892,517,1752,987,951,1860,1100,161,110,103,255,251,259,699,420,451,354
"ENSMUSG00000028850.3",349,177,185,225,144,148,120,51,50,51,70,35,35,202,129,160,154
"ENSMUSG00000028848.14",255,177,476,453,304,252,253,80,87,91,89,77,93,362,143,181,180
"ENSMUSG00000047281.4",65,32,61,70,47,41,44,16,13,14,19,13,12,38,7,8,6
"ENSMUSG00000037553.15",1231,850,1109,1225,1147,897,1011,305,253,260,301,203,215,1238,375,528,530
"ENSMUSG00000043257.16",725,403,460,684,410,485,451,138,119,101,96,111,121,426,198,230,226
"ENSMUSG00000007880.17",5143,3842,1653,2457,2412,1917,2005,363,402,411,447,427,418,2488,349,500,450
"ENSMUSG00000003644.18",728,476,557,326,517,234,525,55,88,109,131,79,117,808,351,425,420
"ENSMUSG00000003038.16",876,1045,1102,1158,836,1182,971,260,318,455,431,409,375,1294,73,63,116
