"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000050721.10",932,741,431,335,1071,612,1067,83,80,112,142,63,106,738,61,94,105
"ENSMUSG00000041064.15",75,39,28,10,13,14,21,4,6,2,15,4,5,29,2,7,15
"ENSMUSG00000032387.16",1663,1166,2781,2714,1900,1681,1723,547,493,470,393,450,529,2101,72,93,77
"ENSMUSG00000040652.17",1405,959,1177,1165,1332,1357,1271,314,312,263,256,348,362,1065,278,309,306
"ENSMUSG00000040524.10",2065,1281,312,567,873,637,758,60,99,81,77,83,88,700,58,128,81
"ENSMUSG00000032386.16",3756,4395,1496,1323,1503,1122,1216,388,334,300,311,312,368,1930,925,911,724
"ENSMUSG00000040204.7",75,85,49,11,33,40,71,5,17,24,52,13,4,113,8,7,28
"ENSMUSG00000032384.17",1805,1423,241,323,338,341,318,57,61,65,77,52,58,374,124,173,200
"ENSMUSG00000032383.8",3313,2280,2169,1161,2480,2508,1889,508,597,450,612,599,581,2505,2518,3018,2455
"ENSMUSG00000039452.7",81,32,30,21,29,27,19,12,3,10,13,9,6,28,14,25,14
"ENSMUSG00000032382.15",1426,1187,760,642,1179,1004,1047,182,232,191,211,193,234,957,1023,1034,1095
"ENSMUSG00000032381.6",1482,1465,1486,1535,1712,1519,1362,527,417,408,490,349,462,1509,603,688,654
"ENSMUSG00000032380.10",1163,656,634,415,556,372,531,128,130,98,173,116,177,321,601,595,702
"ENSMUSG00000038664.17",14509,12337,2308,2506,3164,2670,2493,526,593,476,479,529,519,2845,3036,3492,3205
"ENSMUSG00000050503.10",152,111,16,23,21,20,20,4,7,9,8,6,5,12,24,39,36
"ENSMUSG00000032376.13",2943,2890,941,1048,1165,1085,1113,172,273,195,206,220,234,1368,994,1174,1166
"ENSMUSG00000032373.16",1,0,1,10,0,5,5,2,2,3,2,4,0,3,1,4,0
"ENSMUSG00000032375.16",346,359,174,312,460,742,376,139,56,58,79,66,51,212,177,257,209
"ENSMUSG00000053040.14",125,115,139,274,242,381,218,103,51,60,62,56,41,143,43,64,77
"ENSMUSG00000036943.10",858,1335,270,164,628,466,612,93,90,123,177,65,64,465,152,231,204
"ENSMUSG00000036781.14",3601,5483,5707,5430,4143,3698,3141,1505,1384,1125,1175,1253,1789,3628,3203,2916,4310
"ENSMUSG00000032370.9",2721,3496,1266,1188,1555,1053,990,451,368,338,364,321,459,1362,1659,1624,1418
"ENSMUSG00000032366.16",2210,1690,1091,1017,1339,1607,1428,448,548,464,732,582,471,1271,538,650,723
"ENSMUSG00000052698.16",2128,1420,322,277,546,521,446,62,61,54,70,65,67,377,490,528,603
"ENSMUSG00000091956.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000047990.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000035284.11",10196,9610,508,555,2052,1758,1972,189,229,171,196,167,209,2250,3032,3762,3523
"ENSMUSG00000032238.18",12949,17316,1403,1781,3879,4404,2911,813,648,581,579,678,683,2617,1579,2141,1777
"ENSMUSG00000032235.16",2112,2108,620,679,636,672,577,114,147,100,136,131,171,688,667,673,608
"ENSMUSG00000032231.15",865,563,995,576,926,831,1030,227,209,234,384,377,196,742,122,131,147
"ENSMUSG00000059246.5",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000011958.18",3620,4207,1697,2751,2023,1868,1725,661,577,497,588,590,474,2047,1645,1567,1399
"ENSMUSG00000033543.18",2133,2835,1184,2210,848,916,734,385,312,336,301,373,310,1086,519,521,507
"ENSMUSG00000032226.6",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000032224.16",61,63,135,77,148,182,163,61,27,13,29,40,6,92,5,14,10
"ENSMUSG00000032220.11",4068,3358,1006,762,1543,1972,1514,224,229,244,244,208,276,2156,811,871,911
"ENSMUSG00000032218.8",74,49,56,28,47,45,67,9,7,16,100,9,4,77,20,24,20
"ENSMUSG00000032217.14",4183,4562,984,1129,1086,1011,1011,172,158,171,162,168,190,1055,543,662,666
"ENSMUSG00000032212.11",4803,4498,1091,1949,1225,1030,855,523,448,445,507,424,348,1368,703,870,732
"ENSMUSG00000042444.11",2705,3571,585,911,1363,1166,1356,315,264,217,221,242,220,764,755,1012,1103
"ENSMUSG00000054693.15",3512,5220,1137,1089,1977,1550,1823,270,372,373,456,293,342,1642,338,521,446
"ENSMUSG00000032207.11",10620,10203,5127,2999,9894,6945,7537,1192,2173,2003,2064,1521,2491,9347,5846,5246,6316
"ENSMUSG00000032204.14",28226,19607,13727,14922,15793,11815,12436,3993,4018,4660,3657,4654,4450,21059,9319,11926,9114
"ENSMUSG00000013584.6",10,5,6,7,13,16,10,22,7,3,6,9,4,4,5,1,7
"ENSMUSG00000032199.14",3645,3221,2082,2130,2539,2405,2181,665,666,622,635,541,674,2564,1410,1582,1566
"ENSMUSG00000041361.14",207,143,75,83,70,85,83,19,17,25,28,14,16,41,83,84,58
"ENSMUSG00000032232.15",7439,4434,2627,2586,3998,2619,3060,572,573,634,613,566,711,4128,1535,2013,1944
"ENSMUSG00000032228.17",4156,4261,662,689,1264,1264,1085,159,178,156,157,165,189,1131,950,1106,1033
"ENSMUSG00000038535.18",3260,3586,362,556,475,435,467,75,89,87,54,83,82,446,569,705,603
"ENSMUSG00000032221.15",19,12,10,15,20,5,9,8,4,7,8,6,7,18,2,1,3
"ENSMUSG00000090626.10",70,56,22,17,16,9,17,2,5,4,6,4,7,40,8,15,9
"ENSMUSG00000037674.16",2934,3125,642,817,746,613,635,128,143,139,144,124,155,657,185,288,232
"ENSMUSG00000032216.16",22603,21898,6384,7725,11444,12555,11552,1498,1644,1322,1386,1692,1835,10656,5283,6331,6039
"ENSMUSG00000036030.10",21,6,19,1,8,8,21,2,1,3,1,2,3,3,16,3,11
"ENSMUSG00000034910.6",120,135,60,7,118,43,133,15,36,35,26,29,35,46,89,85,124
"ENSMUSG00000092192.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"ENSMUSG00000089865.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086158.3",141,130,153,90,155,168,157,27,41,38,31,39,40,178,91,100,82
"ENSMUSG00000034563.17",219,202,3,4,5,8,5,4,4,5,4,7,3,13,27,30,28
"ENSMUSG00000079469.11",909,659,257,244,360,280,299,53,65,59,63,55,57,402,51,52,88
"ENSMUSG00000098332.3",347,278,343,385,181,212,159,86,81,106,105,110,96,177,135,101,129
"ENSMUSG00000032202.12",289,238,175,190,189,206,187,31,36,49,58,25,26,331,43,46,82
"ENSMUSG00000092622.9",25,18,4,7,8,2,2,0,1,1,1,0,2,11,0,6,4
"ENSMUSG00000092310.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ENSMUSG00000032215.16",853,718,991,1246,622,595,503,210,229,230,270,235,237,653,575,672,678
"ENSMUSG00000062151.14",0,0,2,0,0,0,0,2,0,0,3,0,1,0,0,0,0
"ENSMUSG00000044976.18",8,13,0,1,1,2,0,1,0,0,0,0,1,3,1,0,2
"ENSMUSG00000043013.11",1133,379,41,94,280,111,124,21,29,37,41,33,21,302,105,184,145
"ENSMUSG00000034858.17",11249,6339,3105,2420,3426,2779,3018,603,751,649,780,635,818,6082,1402,1385,1874
"ENSMUSG00000007656.14",2327,2090,1876,1905,1294,1256,1242,629,700,653,683,700,800,1278,606,559,601
"ENSMUSG00000034593.17",259,239,64,45,71,89,90,31,18,15,18,25,13,73,41,51,86
"ENSMUSG00000033590.9",45,30,1,10,8,10,11,3,0,0,1,6,2,9,10,2,5
"ENSMUSG00000032192.10",61,33,34,25,40,45,33,5,6,8,9,10,4,20,12,24,10
"ENSMUSG00000032191.7",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000042688.17",2514,2230,924,1008,1544,1232,1468,241,313,257,312,227,275,1613,374,454,570
"ENSMUSG00000042487.7",1537,1459,356,227,770,534,525,149,121,91,161,56,154,681,322,398,361
"ENSMUSG00000058587.10",2795,3547,603,552,1301,1216,1090,210,273,182,238,215,227,1004,624,649,730
"ENSMUSG00000032186.16",24,13,0,0,0,3,0,2,0,0,0,0,2,1,1,1,0
"ENSMUSG00000032184.6",17,20,14,5,17,70,12,17,6,9,8,9,6,15,3,2,4
"ENSMUSG00000032181.8",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032179.8",1087,1037,35,41,314,320,265,33,27,13,22,24,33,216,125,140,163
"ENSMUSG00000007908.15",8,16,6,0,1,3,1,1,0,1,3,5,0,3,2,2,4
"ENSMUSG00000059383.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032360.17",1,0,1,1,1,1,0,2,0,1,1,0,1,3,0,1,1
"ENSMUSG00000032358.13",10,7,0,0,1,4,2,0,1,0,1,0,1,2,6,0,1
"ENSMUSG00000032357.13",4,1,1,0,2,12,3,3,2,0,1,0,0,2,9,28,21
"ENSMUSG00000032355.17",0,0,3,0,2,0,1,1,11,5,5,5,0,0,0,0,0
"ENSMUSG00000032352.17",80,45,24,33,28,35,23,11,11,12,11,24,10,38,15,18,20
"ENSMUSG00000044938.9",108,49,25,1,9,8,17,34,32,22,27,21,44,11,10,2,15
"ENSMUSG00000032350.10",24977,18629,9747,5582,8972,6999,5485,1117,1044,558,980,607,1627,6732,11628,9232,9176
"ENSMUSG00000032349.14",30783,32734,28223,3597,18293,19187,25329,3604,3619,2556,3380,2737,6417,18436,18544,14656,24389
"ENSMUSG00000023333.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001366.15",3288,2387,1925,2193,2023,2030,1685,424,468,396,436,478,557,2614,1842,2161,2003
"ENSMUSG00000009828.16",1809,1481,701,565,628,511,625,144,120,92,160,91,146,661,242,232,279
"ENSMUSG00000032348.7",2086,1625,1446,1860,1716,2381,1543,969,917,603,690,762,926,1630,2538,1048,2520
"ENSMUSG00000074183.4",444,292,538,581,1172,1990,710,796,505,195,108,282,337,1134,70,21,82
"ENSMUSG00000111709.2",165,81,474,537,1085,1878,663,749,450,181,96,252,297,1080,34,17,42
"ENSMUSG00000074179.12",345,269,340,569,888,1413,543,564,366,170,99,239,262,804,17,7,20
"ENSMUSG00000066463.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038750.13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057933.11",2065,1449,748,1347,2033,3000,1150,1320,915,412,237,522,618,1759,672,130,479
"ENSMUSG00000060461.6",0,0,3,0,2,0,3,2,0,0,0,1,1,0,0,4,4
"ENSMUSG00000032346.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070291.5",15,35,5,4,6,6,0,2,0,6,1,0,2,1,0,4,1
"ENSMUSG00000032344.18",73,139,17,39,55,47,60,6,14,11,15,6,1,38,11,16,13
"ENSMUSG00000032342.14",1106,775,412,350,631,442,446,118,139,118,109,72,118,623,728,693,774
"ENSMUSG00000037742.15",208487,141477,133199,176730,159636,166904,154360,34481,34354,33345,32475,30777,42277,173780,199605,226655,193494
"ENSMUSG00000049624.15",1535,1686,914,848,892,660,833,151,150,125,187,127,171,986,576,735,739
"ENSMUSG00000046186.9",2,5,1,1,1,3,0,0,0,1,1,1,0,1,2,0,0
"ENSMUSG00000032332.18",201,280,137,53,90,132,81,29,26,24,34,35,23,96,91,220,134
"ENSMUSG00000032330.8",3164,2539,5071,5443,3477,4118,2977,1395,1238,1050,1136,1260,1481,3735,2718,2879,3448
"ENSMUSG00000032328.13",11741,18297,5523,4800,7164,6261,5537,1640,1485,1309,1641,1344,1524,6068,4872,5246,5536
"ENSMUSG00000034898.18",75,63,8,10,44,37,54,4,7,9,8,9,6,16,15,14,10
"ENSMUSG00000034252.15",5072,6668,989,1030,1516,1520,1391,254,293,261,274,313,316,1483,1264,1272,1261
"ENSMUSG00000033577.19",5995,5506,2208,2774,2012,1801,1729,416,480,444,464,503,461,2044,1279,1471,1509
"ENSMUSG00000032343.16",15,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000049511.6",1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000043289.13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000032251.13",71,85,44,69,37,57,41,5,19,16,7,19,15,47,32,41,42
"ENSMUSG00000032253.14",7404,8377,446,565,860,947,753,244,315,334,255,323,265,780,1729,2161,2003
"ENSMUSG00000066456.15",69,56,98,29,59,37,84,20,24,25,25,16,26,49,183,159,300
"ENSMUSG00000032258.16",56,39,11,24,16,14,13,3,2,1,4,5,5,14,8,9,10
"ENSMUSG00000032261.17",2764,2535,1178,878,1581,1347,1250,249,253,250,299,272,340,1390,449,570,482
"ENSMUSG00000032262.14",1,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038379.16",24,27,19,0,18,18,16,1,2,2,21,3,1,25,2,8,13
"ENSMUSG00000032263.15",4137,2482,3767,5924,2774,2494,2421,1095,1083,1059,914,1177,1119,3070,799,857,950
"ENSMUSG00000079433.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032265.15",1613,3046,468,522,983,877,994,282,441,570,603,356,154,885,139,181,188
"ENSMUSG00000035941.16",8192,7927,1834,2420,2458,1841,2343,666,623,665,618,661,564,3492,1721,1940,1953
"ENSMUSG00000035274.14",1,3,13,1,2,4,2,2,1,0,0,3,0,2,2,4,2
"ENSMUSG00000032415.15",141,89,111,114,81,75,71,22,18,22,14,10,35,93,51,93,64
"ENSMUSG00000034973.17",4231,3721,561,793,934,855,829,115,108,125,105,140,117,1144,1085,1166,1106
"ENSMUSG00000056131.14",951,726,280,121,319,367,244,58,56,60,70,58,72,492,338,248,343
"ENSMUSG00000032417.11",166,150,72,26,21,5,24,2,4,8,5,5,9,22,98,37,104
"ENSMUSG00000032418.16",9383,9343,7368,1764,7455,3405,10525,955,1986,1165,1526,1023,2028,5404,3979,2779,8118
"ENSMUSG00000033491.14",1,3,1,1,1,2,3,0,0,0,0,0,1,0,2,0,1
"ENSMUSG00000033419.17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000047897.11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032872.17",1798,1968,1021,917,1479,1373,1224,393,363,316,331,298,300,1392,482,490,544
"ENSMUSG00000042761.15",2,2,0,4,2,2,3,0,0,0,0,1,1,0,1,1,3
"ENSMUSG00000056919.10",867,856,133,197,180,183,167,33,42,46,47,35,40,245,131,117,123
"ENSMUSG00000032419.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000032420.9",7751,5970,1501,1420,5786,2726,3443,771,802,639,965,489,902,3317,4322,4725,6255
"ENSMUSG00000032422.19",1828,1998,465,459,970,891,868,172,215,174,160,199,208,873,535,661,649
"ENSMUSG00000092541.8",8,8,0,0,0,1,1,0,0,0,0,0,0,1,2,2,1
"ENSMUSG00000032423.13",6876,9442,1135,1539,1950,1793,1541,354,383,317,374,371,355,1756,1760,1818,1562
"ENSMUSG00000032425.16",984,897,244,296,284,281,269,84,69,68,74,78,79,301,247,274,272
"ENSMUSG00000090693.5",89,40,22,4,15,16,18,0,4,2,4,4,4,22,5,5,8
"ENSMUSG00000079427.11",1696,2102,1333,1318,1329,1322,1177,367,339,319,296,305,340,1322,202,209,250
"ENSMUSG00000099974.2",69,127,282,111,182,167,344,60,77,100,106,57,65,158,14,37,25
"ENSMUSG00000067399.11",107,54,10,5,9,6,12,1,1,4,1,2,3,16,3,10,6
"ENSMUSG00000102037.2",60,102,234,91,169,146,292,43,65,89,78,50,56,127,16,29,22
"ENSMUSG00000079162.9",17,16,10,5,7,11,12,0,4,5,1,3,3,19,5,9,3
"ENSMUSG00000089929.2",37,71,164,63,86,101,180,34,43,47,62,42,39,96,8,32,37
"ENSMUSG00000100838.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066442.18",1660,1530,947,1066,887,869,794,256,228,245,196,231,242,864,241,260,259
"ENSMUSG00000039313.15",1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
"ENSMUSG00000032353.10",950,547,908,786,849,688,777,268,306,233,353,220,312,789,355,289,337
"ENSMUSG00000047606.5",3,2,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032356.13",24,48,9,9,6,6,3,0,0,1,1,0,0,8,4,4,16
"ENSMUSG00000032359.15",14917,17080,9769,10591,12826,10951,10844,2201,2537,2156,2408,2445,2894,13394,5351,5882,5353
"ENSMUSG00000062270.15",11150,11459,7606,11236,8930,9251,8090,2150,2413,2127,2214,2257,2473,8759,1416,1588,1471
"ENSMUSG00000032363.16",304,181,365,1474,171,230,138,13,25,21,14,55,52,114,264,302,110
"ENSMUSG00000037410.14",3504,2866,1261,1349,2675,1823,1707,200,245,252,353,222,217,1654,1095,1529,1325
"ENSMUSG00000032368.15",0,0,0,1,3,0,1,4,2,0,0,3,2,0,0,0,0
"ENSMUSG00000036972.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095654.3",21,27,1,1,1,0,0,0,0,1,0,5,0,2,4,13,2
"ENSMUSG00000032369.14",782,832,640,753,827,692,732,166,173,183,262,161,204,802,315,287,421
"ENSMUSG00000032372.15",1908,1923,1133,1067,1368,1098,1422,250,341,298,284,336,366,1833,1204,1212,1749
"ENSMUSG00000074139.9",2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000032377.9",554,489,214,294,243,219,181,52,69,42,37,56,49,134,75,111,85
"ENSMUSG00000032374.15",158,144,31,27,48,73,48,37,17,17,7,26,13,33,11,12,16
"ENSMUSG00000045414.8",2751,3122,910,1334,1105,1207,1004,248,243,198,251,276,266,1318,1334,1560,1248
"ENSMUSG00000031129.10",905,601,191,153,483,445,546,63,88,64,118,33,54,254,92,103,148
"ENSMUSG00000033350.8",208,208,182,108,165,221,214,30,25,24,24,22,23,78,98,138,174
"ENSMUSG00000032407.15",6614,7861,1084,1334,1665,1511,1445,391,473,421,445,525,413,1656,1758,1842,1904
"ENSMUSG00000064225.7",31233,31007,12128,3588,19384,4821,11257,2202,2777,3323,4650,1980,5140,11136,11571,15872,18724
"ENSMUSG00000015354.9",120,186,192,67,529,146,77,21,16,48,103,10,19,228,98,87,145
"ENSMUSG00000032839.14",110,81,16,32,33,37,18,8,12,7,10,8,4,18,45,51,51
"ENSMUSG00000049493.14",20,7,39,19,20,27,54,12,39,25,49,42,46,23,9,23,21
"ENSMUSG00000032409.16",2179,2505,334,426,522,479,451,90,76,69,61,96,76,614,1124,1336,1146
"ENSMUSG00000032410.14",5018,5232,649,814,1044,908,930,163,185,162,160,164,144,876,696,949,881
"ENSMUSG00000041440.19",75,51,8,17,27,15,18,1,2,6,8,2,6,18,18,10,13
"ENSMUSG00000032411.16",2248,2093,505,957,989,1168,929,212,163,165,140,185,141,1122,502,578,542
"ENSMUSG00000032412.9",2925,3467,1623,2169,3637,1602,4967,495,374,500,619,496,337,2086,457,493,498
"ENSMUSG00000051234.7",1095,971,1334,1159,1058,829,827,323,294,254,283,204,326,961,723,711,788
"ENSMUSG00000099564.3",1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000032413.13",866,1040,137,237,149,133,103,23,28,30,40,19,24,158,107,182,114
"ENSMUSG00000040433.17",3716,4210,470,605,924,850,828,172,181,232,174,167,189,894,838,1005,1069
"ENSMUSG00000043587.16",450,269,412,644,282,305,246,87,66,57,63,78,79,297,111,145,130
"ENSMUSG00000046997.6",83,49,183,16,104,52,47,25,23,30,33,11,28,64,29,37,47
"ENSMUSG00000032449.14",1204,1565,333,305,458,279,376,55,61,58,71,78,44,320,197,281,265
"ENSMUSG00000032451.7",0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032452.13",42,23,24,5,11,53,29,2,6,3,3,7,2,24,5,11,25
"ENSMUSG00000032456.14",717,441,341,328,329,271,361,105,93,99,81,105,152,329,180,206,178
"ENSMUSG00000046402.11",1291,445,1940,1384,1815,3373,2075,1967,559,433,727,1292,270,835,274,620,313
"ENSMUSG00000032454.10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000032458.7",9777,10295,3195,2268,6317,5610,5214,1174,1350,1184,1326,1297,1401,6497,1095,1265,1258
"ENSMUSG00000032459.10",1506,1937,550,368,788,526,557,183,158,150,159,155,191,729,698,723,608
"ENSMUSG00000091080.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063058.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090470.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074123.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050397.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000032463.11",333,248,262,177,219,164,173,65,76,93,90,79,75,252,91,106,120
"ENSMUSG00000044860.10",18,7,1,2,1,0,0,0,1,0,0,0,0,0,2,1,3
"ENSMUSG00000032462.15",1883,1529,547,697,668,591,641,140,168,154,145,142,176,928,103,186,152
"ENSMUSG00000096316.8",4,3,6,5,8,2,6,3,2,2,4,0,0,7,0,0,0
"ENSMUSG00000056267.15",533,486,174,150,141,180,189,44,51,72,41,59,78,209,151,172,235
"ENSMUSG00000037681.14",24,31,9,10,7,2,2,2,7,1,0,10,3,7,7,2,14
"ENSMUSG00000032470.18",183,123,119,89,127,81,132,11,28,21,24,27,34,195,65,114,90
"ENSMUSG00000046242.9",9,8,2,1,3,0,6,3,1,1,1,0,2,4,1,1,2
"ENSMUSG00000032468.12",1549,1432,596,665,788,607,754,174,146,201,191,169,151,784,481,535,542
"ENSMUSG00000032469.13",574,589,245,360,280,240,301,49,68,78,83,67,84,358,176,184,238
"ENSMUSG00000037953.8",0,8,29,0,1,0,16,0,11,3,2,1,2,8,4,14,24
"ENSMUSG00000037784.15",152,80,72,26,21,39,52,10,14,5,8,11,10,32,43,48,82
"ENSMUSG00000032473.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053747.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044244.19",129,59,57,127,38,13,23,3,4,8,3,4,1,34,7,9,11
"ENSMUSG00000032475.16",2446,2470,518,590,1094,768,708,170,151,128,191,170,174,862,421,555,469
"ENSMUSG00000070287.4",100,69,19,31,38,36,30,7,5,4,5,9,1,43,17,13,5
"ENSMUSG00000037286.16",5752,6371,716,904,1444,1395,1207,253,232,211,245,272,267,1332,1139,1099,1212
"ENSMUSG00000032527.14",10028,7703,5288,5524,7634,6939,6291,1797,2032,1843,1751,1705,2102,7462,1900,2338,2183
"ENSMUSG00000066415.5",3728,4092,887,1401,1404,1253,1111,336,313,331,274,293,284,1345,424,534,499
"ENSMUSG00000043154.16",5120,4777,474,627,947,841,822,218,258,183,149,251,240,800,680,797,746
"ENSMUSG00000057710.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032537.16",2,1,1,2,0,5,3,6,10,9,1,3,1,3,1,3,6
"ENSMUSG00000035606.9",0,1,6,0,0,2,0,1,1,0,3,3,0,1,0,0,0
"ENSMUSG00000032534.19",1174,959,471,654,472,465,430,177,152,158,125,160,139,525,336,382,322
"ENSMUSG00000035048.14",1289,791,1259,1192,911,898,719,441,485,479,515,455,568,1097,183,147,191
"ENSMUSG00000032531.16",3365,1727,754,855,1323,1678,1200,202,207,194,163,210,254,1055,1275,1476,1564
"ENSMUSG00000032547.13",2289,2296,1167,1771,1330,1307,1189,374,382,330,331,352,381,1398,668,727,642
"ENSMUSG00000032548.15",4901,3130,3647,3783,5884,4234,4803,927,729,635,688,672,718,3744,338,576,409
"ENSMUSG00000032549.8",192,163,67,49,120,88,89,22,17,9,18,26,13,50,4,0,5
"ENSMUSG00000032553.15",1307,885,1129,875,994,791,786,170,215,142,285,175,229,1072,560,529,476
"ENSMUSG00000032554.16",759799,526473,760399,864112,715630,642715,743298,250929,236285,289358,357132,245304,197007,864905,622154,607074,602418
"ENSMUSG00000033688.11",32423,26167,16797,17344,25215,23520,21247,5165,5191,5813,6243,4965,5853,26064,24505,27903,28880
"ENSMUSG00000032555.11",1298,1224,403,366,658,478,568,79,96,71,130,69,76,613,399,473,482
"ENSMUSG00000032803.16",9924,9826,3519,3799,4273,4083,3524,1034,1096,924,895,965,1203,4510,3171,3378,3162
"ENSMUSG00000032556.12",1,2,1,0,3,0,0,0,1,0,0,1,1,3,2,2,1
"ENSMUSG00000042757.17",60,21,12,31,22,10,17,5,4,6,11,9,6,31,0,7,0
"ENSMUSG00000032558.20",623,433,436,648,304,229,251,38,40,36,47,27,57,288,170,274,227
"ENSMUSG00000101152.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032557.14",2578,2165,1291,957,1245,1258,922,480,458,399,530,409,375,1122,932,791,925
"ENSMUSG00000090150.11",27646,26172,6502,5707,12786,10104,9443,1392,1967,1686,1558,1531,2637,13903,16659,15159,16987
"ENSMUSG00000079355.6",2499,1454,66,37,93,113,78,7,10,13,10,14,22,66,201,154,198
"ENSMUSG00000032560.15",5340,4788,713,954,1710,1512,1438,248,277,235,214,278,308,1820,1285,1512,1483
"ENSMUSG00000032561.16",566,770,950,876,1077,653,3909,130,346,201,155,211,279,2433,285,335,397
"ENSMUSG00000032564.17",0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,0
"ENSMUSG00000032563.17",1352,1375,687,672,991,803,687,180,192,190,200,168,217,900,655,670,732
"ENSMUSG00000032565.10",414,305,365,463,520,402,431,97,122,116,81,103,127,449,295,303,381
"ENSMUSG00000032566.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035032.13",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032567.17",485,450,104,173,107,87,114,23,33,32,24,32,29,162,94,153,120
"ENSMUSG00000032570.18",4421,4875,1292,1350,1845,1709,1562,334,397,275,325,291,369,1744,1889,1932,1973
"ENSMUSG00000032571.15",1672,1112,620,605,958,822,944,155,189,171,197,163,212,1089,176,244,282
"ENSMUSG00000043719.15",60,29,12,4,9,7,7,2,2,2,3,0,1,6,33,37,40
"ENSMUSG00000091345.10",45,17,7,1,1,2,3,1,1,11,1,1,1,10,41,91,79
"ENSMUSG00000032572.10",1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"ENSMUSG00000020258.17",5235,3832,4597,3738,4772,3828,3712,672,806,705,850,760,1046,4975,2436,2413,2445
"ENSMUSG00000020257.14",3670,3304,1533,2149,2061,2231,1742,339,464,414,397,396,417,2341,1208,1401,1149
"ENSMUSG00000020253.16",613,309,807,590,624,498,520,108,140,121,151,146,187,729,499,561,506
"ENSMUSG00000023277.14",190,144,264,154,292,217,346,67,54,76,109,56,54,362,120,145,143
"ENSMUSG00000045322.11",51,34,22,4,92,43,95,1,5,7,4,1,4,49,4,7,3
