"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000030237.15",10289,8116,25652,2616,3437,2041,10615,7866,11189,2568,6314,1681,3177,3014,1150,1544
"ENSMUSG00000041698.12",1727,1378,2605,57,68,67,299,248,448,175,350,27,14,20,25,32
"ENSMUSG00000079263.9",23,17,12,5,0,1,116,80,97,5,17,0,4,0,0,0
"ENSMUSG00000079262.4",9,2,7,1,1,0,116,85,96,2,3,0,3,1,0,0
"ENSMUSG00000063975.14",10,9,41,4,2,0,338,250,274,0,5,8,2,6,7,8
"ENSMUSG00000041681.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041671.14",472,607,868,109,97,90,270,263,223,75,119,128,168,143,53,40
"ENSMUSG00000030243.17",388,447,660,73,76,80,180,156,132,69,86,111,143,157,20,21
"ENSMUSG00000030245.11",204,235,539,118,74,62,104,128,143,47,79,101,114,156,27,18
"ENSMUSG00000071112.13",11,15,30,2,1,0,3,4,4,10,32,0,0,3,0,2
"ENSMUSG00000030244.8",4928,6107,11370,4881,4363,1728,6798,9817,6139,1229,1482,2047,2008,4056,1889,1701
"ENSMUSG00000030246.13",135,128,150,85,76,49,147,152,190,75,57,33,63,78,32,28
"ENSMUSG00000030247.10",169,156,400,205,147,107,229,213,226,49,46,50,39,91,80,49
"ENSMUSG00000030249.16",2768,3023,6213,536,380,432,1683,1691,1749,682,544,306,317,604,213,169
"ENSMUSG00000030282.15",1451,1691,2749,899,1000,921,1188,1243,1384,369,640,627,922,943,683,351
"ENSMUSG00000048473.16",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000030283.8",20,19,143,3,0,3,5,6,4,2,5,6,4,3,6,0
"ENSMUSG00000030279.16",945,1030,1784,147,121,111,313,288,336,186,290,118,173,173,52,67
"ENSMUSG00000030275.7",4102,4424,10564,1265,1028,1375,2631,2813,2916,776,1189,1246,1523,1730,678,524
"ENSMUSG00000041540.17",4196,4640,4499,389,235,251,789,999,994,351,505,266,229,236,335,123
"ENSMUSG00000030268.18",3,4,47,1,0,0,3,1,2,0,0,0,0,5,2,0
"ENSMUSG00000030263.14",389,415,1064,86,58,29,194,132,178,111,193,75,127,423,69,34
"ENSMUSG00000043541.17",33,29,59,2,1,0,2,6,0,5,13,0,0,0,0,1
"ENSMUSG00000040370.14",1074,1153,2586,739,1169,1190,2241,2235,2457,567,554,549,727,656,351,346
"ENSMUSG00000030265.15",1439,1537,3867,484,522,597,1222,1241,1702,496,744,430,579,591,167,164
"ENSMUSG00000054966.14",1,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0
"ENSMUSG00000067338.7",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000030259.13",2119,2528,2911,675,566,798,1081,1106,1314,277,334,453,568,696,217,260
"ENSMUSG00000030256.12",24,46,157,21,68,4,53,169,23,5,16,17,30,39,12,3
"ENSMUSG00000030255.14",75,90,307,45,21,16,112,141,95,21,27,36,73,76,51,10
"ENSMUSG00000030287.16",7498,7811,8254,648,530,617,1841,1798,1786,521,817,613,747,770,1531,580
"ENSMUSG00000040250.15",1184,1308,2300,330,284,350,862,867,901,304,480,307,500,496,194,142
"ENSMUSG00000040242.15",2297,2450,5553,1026,825,879,2217,2288,2570,829,943,720,919,1078,294,343
"ENSMUSG00000040234.17",1903,2263,2289,1609,1227,1633,3799,3963,3533,596,724,1508,1848,1771,1339,779
"ENSMUSG00000030291.13",376,433,948,272,205,240,673,604,763,179,266,366,413,460,108,133
"ENSMUSG00000001630.14",1936,1982,2532,387,223,458,1118,901,776,266,501,558,485,699,184,101
"ENSMUSG00000040187.16",190,171,223,11,2,13,92,72,52,65,118,17,18,10,24,14
"ENSMUSG00000030292.11",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000016487.16",3340,3415,4636,741,672,678,1674,1752,1970,501,659,479,662,709,336,327
"ENSMUSG00000040163.15",225,161,321,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000040121.6",76,93,79,4,4,10,7,4,8,10,14,2,1,11,11,2
"ENSMUSG00000040112.10",1290,1288,1902,704,856,761,1164,1106,1144,458,456,386,509,503,581,488
"ENSMUSG00000072662.3",65,76,37,10,9,21,30,33,25,27,24,4,11,7,6,3
"ENSMUSG00000040102.11",871,875,1688,300,185,295,548,567,536,226,283,212,257,213,124,103
"ENSMUSG00000048776.9",1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000030301.18",1024,1183,1976,545,561,561,995,961,905,118,135,466,576,647,211,192
"ENSMUSG00000030303.16",156,142,411,10,14,13,28,37,56,48,108,12,18,31,0,1
"ENSMUSG00000030304.12",1632,1874,4389,520,440,583,1135,1304,1481,683,876,692,756,777,161,186
"ENSMUSG00000030306.15",345,291,571,33,20,15,117,99,91,43,78,18,17,57,15,12
"ENSMUSG00000040029.16",3244,3986,6557,1026,845,1250,2142,2229,2092,452,533,634,775,766,461,374
"ENSMUSG00000030309.17",557,584,766,83,55,55,275,281,256,197,293,52,29,65,26,15
"ENSMUSG00000039985.15",210,185,562,57,32,16,100,92,170,80,92,49,38,79,23,16
"ENSMUSG00000030313.16",13591,13307,29537,1340,1227,1391,4063,5533,4385,1837,2569,907,1381,1480,1186,602
"ENSMUSG00000067292.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000039958.18",838,639,1356,295,193,196,819,787,693,276,939,234,385,758,85,173
"ENSMUSG00000068250.14",1872,1763,3926,192,107,83,377,523,415,345,501,122,153,223,94,64
"ENSMUSG00000032712.17",3720,3087,6846,509,164,181,810,769,862,541,1540,257,393,599,138,94
"ENSMUSG00000003452.16",119,111,354,2,5,1,11,14,7,8,18,1,6,5,1,1
"ENSMUSG00000054753.10",0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"ENSMUSG00000078817.5",1350,1660,3446,295,110,223,442,777,1039,324,623,181,688,283,890,292
"ENSMUSG00000068566.14",1677,2048,1435,666,399,415,2035,2080,2253,428,452,782,741,926,394,178
"ENSMUSG00000078816.11",41,56,14,8,2,1,30,29,26,25,34,6,1,9,18,3
"ENSMUSG00000069806.6",36,58,31,8,5,9,48,63,56,36,38,0,10,12,29,13
"ENSMUSG00000053395.16",12,9,9,2,0,2,2,0,0,3,3,0,0,17,0,0
"ENSMUSG00000078815.9",1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
"ENSMUSG00000053338.10",6,1,5,0,0,0,0,2,2,0,0,0,6,1,0,0
"ENSMUSG00000054594.14",5,4,13,1,2,1,3,2,9,1,15,0,0,0,35,5
"ENSMUSG00000035674.14",1429,1695,1254,1233,1475,988,2857,2352,2527,1360,1456,895,727,997,1291,252
"ENSMUSG00000006335.17",502,559,427,205,180,138,241,226,277,305,449,147,170,133,202,80
"ENSMUSG00000008373.17",751,851,1020,256,232,208,426,379,287,165,176,193,368,309,205,121
"ENSMUSG00000035632.17",3103,3330,1826,488,333,382,1405,1409,1461,560,1053,350,349,513,392,226
"ENSMUSG00000078813.4",735,849,612,242,242,214,425,431,462,257,360,283,266,249,306,108
"ENSMUSG00000019734.17",644,741,328,88,53,51,161,224,268,282,503,137,79,121,93,67
"ENSMUSG00000035596.15",2261,2434,1705,882,823,933,1850,1935,2030,397,476,911,713,941,656,388
"ENSMUSG00000035585.17",1263,1292,962,628,703,554,1060,890,1063,355,301,509,622,713,766,529
"ENSMUSG00000006333.15",5736,6086,10598,5958,7104,4385,7739,7161,8078,2708,1945,6740,6613,8974,10689,2836
"ENSMUSG00000058818.14",693,665,1085,271,120,120,711,671,808,127,149,355,579,1217,249,93
"ENSMUSG00000074419.12",38,38,85,12,11,10,224,233,257,1,0,52,32,71,19,6
"ENSMUSG00000089942.10",311,272,655,140,102,127,649,641,869,21,78,203,291,711,137,26
"ENSMUSG00000074417.10",123,118,226,91,45,58,376,366,449,4,11,80,108,259,68,20
"ENSMUSG00000030427.18",43,27,49,28,21,32,220,191,240,1,7,5,13,83,16,8
"ENSMUSG00000055541.19",347,281,880,93,39,36,280,268,297,35,39,85,228,512,39,25
"ENSMUSG00000030428.17",117,94,179,20,19,7,64,59,70,88,82,18,13,30,15,7
"ENSMUSG00000035545.14",11783,12225,4831,1309,995,697,6064,6123,4918,4478,7472,1593,1479,2229,2359,1422
"ENSMUSG00000043432.8",256,299,243,102,104,78,120,125,137,115,160,110,121,138,146,69
"ENSMUSG00000063838.7",108,113,99,45,42,24,88,76,93,51,55,42,14,50,123,69
"ENSMUSG00000070873.6",354,308,595,105,58,107,321,306,459,42,81,90,189,372,174,44
"ENSMUSG00000062524.5",26,24,91,4,8,4,16,17,9,3,3,0,0,70,18,1
"ENSMUSG00000078810.5",3,4,7,0,0,3,6,2,4,1,0,0,0,21,0,0
"ENSMUSG00000008435.16",454,526,531,194,167,151,237,248,263,254,523,223,142,225,140,128
"ENSMUSG00000006154.14",779,987,670,30,3,0,123,52,224,145,152,18,122,92,169,77
"ENSMUSG00000019254.17",2294,2505,1688,643,580,452,993,870,1026,895,1363,571,635,805,742,491
"ENSMUSG00000064179.14",68,71,59,49,42,14,43,80,57,20,23,21,28,19,69,16
"ENSMUSG00000035458.16",39,34,36,11,5,2,19,15,16,7,29,7,6,39,11,3
"ENSMUSG00000055809.8",30,34,16,14,3,3,13,17,19,8,25,80,17,99,3,6
"ENSMUSG00000004961.8",2,2,3,0,0,0,1,0,2,10,0,0,0,5,4,0
"ENSMUSG00000035429.14",6,5,5,0,0,0,10,2,0,0,0,0,0,5,4,0
"ENSMUSG00000045282.8",1904,2146,872,1620,2621,1633,4152,4045,3216,722,952,1433,1625,1142,1736,701
"ENSMUSG00000052296.8",6280,6807,5210,2420,2178,2170,4721,4374,3985,787,1283,1848,2198,2230,2436,1441
"ENSMUSG00000063802.6",674,793,680,406,528,361,672,594,503,239,156,403,441,437,632,352
"ENSMUSG00000035390.17",75,82,46,6,2,3,12,11,10,17,44,0,0,13,8,2
"ENSMUSG00000046456.15",41,37,41,8,4,2,12,8,9,10,8,0,25,34,5,3
"ENSMUSG00000059851.16",1520,1338,484,332,267,210,847,708,584,635,1373,254,308,297,266,131
"ENSMUSG00000051811.15",18,6,4,4,9,2,10,7,17,46,88,0,3,11,25,8
"ENSMUSG00000092518.10",0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0
"ENSMUSG00000004371.16",3,3,2,1,0,0,3,1,1,1,0,0,0,0,1,1
"ENSMUSG00000013091.6",61,63,9,2,5,5,3,7,2,5,0,0,13,3,9,0
"ENSMUSG00000030431.9",638,698,244,424,528,293,417,423,401,322,276,301,154,116,151,105
"ENSMUSG00000030432.13",5792,6589,3530,5128,5948,3351,7301,5963,6742,6653,5532,3612,3087,3866,7572,4030
"ENSMUSG00000060860.9",657,700,929,464,406,262,574,530,651,280,331,454,575,714,784,235
"ENSMUSG00000053550.14",4,6,4,1,2,2,3,4,1,8,4,0,0,2,0,0
"ENSMUSG00000052605.13",394,410,325,285,189,145,672,601,549,156,159,375,396,232,344,259
"ENSMUSG00000086784.3",3282,3865,3569,2676,3243,2346,3330,3378,3239,2283,2488,2910,3112,3069,3385,3031
"ENSMUSG00000110221.2",14,20,7,2,6,7,6,14,8,1,8,0,7,1,0,0
"ENSMUSG00000074406.6",674,778,193,152,116,114,270,289,338,183,302,72,118,114,352,149
"ENSMUSG00000035285.7",28,35,18,8,17,10,18,13,24,8,36,11,16,13,4,2
"ENSMUSG00000035279.9",66,68,57,21,12,2,41,41,28,22,93,38,17,14,0,0
"ENSMUSG00000030433.16",3,0,5,1,0,0,0,1,0,0,3,0,1,0,0,0
"ENSMUSG00000085272.8",1,1,0,0,0,1,1,1,1,3,9,0,0,0,0,0
"ENSMUSG00000051550.11",855,1002,130,169,151,76,629,643,575,600,1156,153,160,190,93,64
"ENSMUSG00000061374.15",802,865,618,355,390,311,722,706,752,205,232,334,326,377,339,217
"ENSMUSG00000051184.8",98,98,95,118,131,109,229,231,248,147,130,99,79,86,252,106
"ENSMUSG00000109129.2",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ENSMUSG00000074405.9",1797,2246,818,251,200,163,634,675,555,892,1193,274,228,354,375,173
"ENSMUSG00000035228.16",37,28,12,0,0,0,1,0,6,1,10,0,1,2,3,0
"ENSMUSG00000116184.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043290.7",7,4,3,1,0,0,1,2,2,0,0,7,10,0,0,0
"ENSMUSG00000055633.7",45,47,11,24,10,14,53,66,37,29,25,21,0,21,22,8
"ENSMUSG00000030435.17",4895,5198,2498,1558,1349,1264,3267,3402,3438,1735,3162,1307,1672,1668,1548,995
"ENSMUSG00000035203.17",6946,7522,4296,3600,4239,3369,6356,7038,6504,1974,2390,2088,2157,2732,3634,2185
"ENSMUSG00000035191.16",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000083649.6",18,19,40,15,11,13,94,80,88,7,3,11,9,4,5,5
"ENSMUSG00000118215.2",1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091874.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091652.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035177.9",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048398.8",1,0,1,1,0,0,18,13,22,0,0,0,0,0,0,0
"ENSMUSG00000078808.6",6,5,29,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000117744.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066820.8",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000118298.2",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117863.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092579.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058631.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118388.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066850.3",0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
"ENSMUSG00000034690.14",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046792.9",1503,1551,1267,513,573,406,920,828,759,528,747,434,343,500,698,352
"ENSMUSG00000044876.16",1317,1479,1331,552,806,486,1024,1130,1023,627,882,581,392,594,1046,356
"ENSMUSG00000034660.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058028.15",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053367.16",16,10,32,0,0,0,0,0,0,3,5,0,0,0,2,0
"ENSMUSG00000054893.16",176,254,279,69,63,44,132,164,161,41,78,27,52,78,20,46
"ENSMUSG00000030443.17",48,29,54,4,2,2,16,13,13,7,20,3,2,3,0,0
"ENSMUSG00000109398.3",3,2,14,2,1,2,2,1,5,2,6,0,0,0,0,0
"ENSMUSG00000055150.16",152,188,202,29,12,15,64,66,69,42,59,14,50,32,34,7
"ENSMUSG00000062861.9",315,283,407,52,41,33,169,149,137,140,264,73,56,58,15,24
"ENSMUSG00000093536.8",12,3,8,0,3,0,3,2,1,7,2,0,1,0,1,0
"ENSMUSG00000045929.9",3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090824.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048620.7",0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000054938.8",1,2,3,0,0,0,0,1,0,0,0,0,0,0,4,0
"ENSMUSG00000096228.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034583.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093877.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048067.9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056696.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002266.18",11,14,5,0,0,4,4,5,5,1,13,0,3,0,4,4
"ENSMUSG00000002265.18",1826,2580,2069,202,31,105,515,391,730,736,2505,27,87,102,345,129
"ENSMUSG00000051527.12",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070837.7",4,4,7,0,2,1,1,3,4,5,7,3,2,0,2,1
"ENSMUSG00000062116.11",230,235,407,179,162,132,241,242,270,117,157,115,154,181,139,119
"ENSMUSG00000063535.8",122,163,426,24,70,54,93,92,84,43,73,34,25,64,15,9
"ENSMUSG00000034538.9",214,216,329,21,25,25,76,78,94,40,49,24,54,38,9,10
"ENSMUSG00000066838.8",164,151,217,61,37,43,149,161,181,136,198,56,64,51,16,31
"ENSMUSG00000110105.2",176,156,507,19,10,8,70,58,73,71,88,38,31,16,8,16
"ENSMUSG00000095730.4",69,61,166,1,0,1,5,3,1,19,8,1,4,0,0,2
"ENSMUSG00000000605.10",2198,2619,4486,1128,862,1015,2469,2754,2811,1069,1654,996,1459,1414,1529,769
"ENSMUSG00000070847.14",2,1,6,0,0,0,2,3,2,0,0,0,0,1,0,0
"ENSMUSG00000110139.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096373.4",0,0,6,0,2,0,10,8,9,0,0,0,0,0,1,1
"ENSMUSG00000096743.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096691.2",1,1,14,0,0,0,1,1,0,0,0,0,0,0,0,1
"ENSMUSG00000070841.6",0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"ENSMUSG00000096399.2",2,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0
"ENSMUSG00000091651.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090892.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070844.12",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053720.5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000094098.4",0,0,2,0,0,0,5,0,7,0,0,2,0,1,0,0
"ENSMUSG00000090662.4",0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"ENSMUSG00000090864.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096658.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095773.4",0,0,5,0,0,0,3,1,1,0,0,0,0,1,0,1
"ENSMUSG00000066828.6",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"ENSMUSG00000096294.2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095914.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096180.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094606.9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000058685.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091930.3",2,1,4,0,0,1,1,0,1,3,0,0,0,0,0,0
"ENSMUSG00000043066.6",19,12,28,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000046716.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030393.9",18,20,57,12,9,9,17,9,15,6,4,3,14,6,6,1
"ENSMUSG00000047031.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091662.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045340.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034087.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059206.5",0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0
"ENSMUSG00000095339.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054272.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110103.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090714.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095936.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070828.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110190.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109969.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095430.4",0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
"ENSMUSG00000051687.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000047655.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043308.3",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"ENSMUSG00000115267.2",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"ENSMUSG00000095864.3",0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0
"ENSMUSG00000061602.4",1,0,7,0,0,0,7,3,1,0,0,0,0,0,0,0
"ENSMUSG00000096735.4",0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
"ENSMUSG00000115744.2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000115027.2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058132.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066804.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066803.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034071.16",147,182,256,20,15,14,64,69,54,16,27,2,25,14,5,18
"ENSMUSG00000030386.20",808,822,1950,168,120,116,378,358,402,357,496,112,156,174,65,86
"ENSMUSG00000030385.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096002.3",25,29,28,1,1,0,1,4,4,0,0,0,5,0,0,0
"ENSMUSG00000096593.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091045.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090762.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070822.6",18,20,22,0,1,2,9,17,7,10,17,1,0,1,1,1
"ENSMUSG00000057894.11",865,875,2263,93,53,48,192,203,216,217,230,61,86,112,54,29
"ENSMUSG00000058638.15",1927,1961,3430,562,404,500,1569,1610,1834,511,651,526,665,746,270,294
"ENSMUSG00000060397.7",278,304,426,42,42,51,153,138,105,59,43,76,37,89,20,37
"ENSMUSG00000054715.12",468,510,275,133,92,113,333,361,418,117,159,63,99,165,81,86
"ENSMUSG00000012848.16",2689,3203,4088,5223,5389,3352,7931,6989,8670,1994,1373,4495,4827,5836,9487,4333
"ENSMUSG00000033967.5",78,50,68,59,37,32,15,30,53,12,17,29,23,18,16,1
"ENSMUSG00000004500.10",844,895,1178,134,94,139,242,208,167,152,113,211,140,183,71,65
"ENSMUSG00000033961.17",609,637,565,111,103,72,261,284,197,184,283,122,129,110,67,86
"ENSMUSG00000030382.16",30388,33224,25250,22073,24727,19954,38029,38628,38084,5122,5270,20450,22101,23611,17931,13057
"ENSMUSG00000005566.15",2571,2697,1992,1743,1640,1354,2316,2387,2753,1135,1511,1317,1160,1463,1261,1059
"ENSMUSG00000049600.9",1748,2045,1603,129,144,73,426,308,220,393,385,147,134,181,378,107
"ENSMUSG00000033916.6",2741,2873,4390,2281,2697,1531,2813,2680,2891,1064,1100,2046,2560,2413,2173,982
"ENSMUSG00000005575.17",1326,1464,963,828,766,614,1814,1745,2004,715,614,649,655,698,1136,592
"ENSMUSG00000030380.18",155,155,170,16,10,8,11,25,22,73,57,0,13,19,21,9
"ENSMUSG00000070817.4",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000070816.4",1,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0
"ENSMUSG00000070815.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000117853.2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000095629.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070814.18",756,808,944,108,114,91,242,206,202,110,175,75,44,114,37,48
"ENSMUSG00000056394.21",286,298,464,164,135,79,180,157,214,62,62,56,73,189,42,57
"ENSMUSG00000033847.16",17,22,45,3,1,2,10,5,7,0,2,8,0,3,0,1
"ENSMUSG00000005649.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000074378.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078800.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078799.6",1375,1469,1339,1547,3668,1837,6739,5802,8220,479,205,612,1731,1592,1168,1892
"ENSMUSG00000070811.7",10676,13564,18900,6808,5536,4696,17016,14202,26016,4847,2234,13275,23594,16293,6071,6007
"ENSMUSG00000078798.5",13381,16113,24842,10481,13149,14225,28775,21728,36940,6295,2906,16059,27656,25544,6116,8453
"ENSMUSG00000074377.13",134,142,106,62,211,141,4961,4117,5462,24,40,180,268,675,87,147
"ENSMUSG00000074375.4",1586,2616,1437,979,1762,1019,3225,2785,5097,331,128,1340,2801,2817,1157,2484
"ENSMUSG00000070810.11",29,25,45,382,1303,695,3072,2494,2522,0,0,3,0,22,25,173
"ENSMUSG00000099216.2",6,3,5,3,1,2,6,6,8,0,9,0,3,5,0,4
"ENSMUSG00000030378.16",8073,10067,27991,7279,8988,11157,17037,28123,22916,3618,3329,1831,2408,3562,520,1684
"ENSMUSG00000094156.3",526,728,86,3616,4497,2186,1268,2005,893,92,24,321,1085,498,79,1216
"ENSMUSG00000100586.3",1099,974,1534,9,19,12,248,313,186,67,87,7,14,4,21,12
"ENSMUSG00000055942.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074369.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054310.17",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066772.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074366.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041583.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041578.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074365.14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041571.11",2031,2099,1919,1421,2180,1195,3990,3963,4213,1774,967,2139,2135,3117,2137,1573
"ENSMUSG00000041560.13",4197,4273,4043,2412,2614,1682,4299,4259,4151,813,1038,1707,1489,1930,2233,1780
