"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000026064.17",246,220,518,15,14,3,58,107,101,100,282,65,49,52,5,5
"ENSMUSG00000117310.3",733,737,195,93,55,64,89,83,50,16,42,65,169,114,2,4
"ENSMUSG00000117091.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086727.9",74,55,79,5,8,9,30,41,20,21,13,5,4,4,1,5
"ENSMUSG00000050217.14",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000026063.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026058.12",0,1,0,0,0,0,27,29,30,0,0,0,0,0,0,0
"ENSMUSG00000091318.3",0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
"ENSMUSG00000026134.12",227,254,421,66,62,43,138,162,192,26,16,82,48,70,24,19
"ENSMUSG00000004768.15",616,753,758,277,184,188,711,587,389,166,226,163,247,148,58,60
"ENSMUSG00000042215.9",122,103,157,45,29,26,106,97,106,37,75,63,47,55,44,35
"ENSMUSG00000042197.14",2045,2110,4234,334,211,253,547,615,689,376,530,177,227,235,98,106
"ENSMUSG00000042182.17",9,11,32,7,1,0,12,13,8,1,9,0,4,8,29,1
"ENSMUSG00000026131.21",11049,11944,16242,863,757,931,2629,2773,1994,866,1219,1322,1573,1875,1410,820
"ENSMUSG00000042111.10",389,368,694,259,264,254,527,520,535,156,229,247,243,342,208,140
"ENSMUSG00000026127.14",910,1069,965,570,498,516,1102,1085,944,225,259,568,707,661,723,371
"ENSMUSG00000026126.16",100,87,275,33,21,14,66,44,68,40,65,61,59,225,71,9
"ENSMUSG00000026125.10",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000026124.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037529.14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045174.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037509.22",118,100,100,7,1,4,14,6,16,9,22,12,2,38,2,3
"ENSMUSG00000118272.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037503.13",2655,2780,3670,1601,1257,1605,2409,2781,2743,593,806,846,1128,1521,692,458
"ENSMUSG00000026123.12",701,670,1067,378,350,389,679,559,716,82,117,283,434,621,132,151
"ENSMUSG00000045216.8",5848,6445,4928,2803,2331,2490,4418,4590,4006,1590,2233,3381,3503,3247,2735,1254
"ENSMUSG00000037470.15",4898,6348,8976,1452,1148,1436,2282,2505,1985,485,768,1184,2765,1756,623,512
"ENSMUSG00000047180.9",659,599,907,195,108,98,409,401,466,205,255,138,216,498,236,71
"ENSMUSG00000037447.17",375,435,639,61,43,27,101,88,109,45,115,57,121,186,58,28
"ENSMUSG00000010453.13",3940,4156,3825,1023,826,803,2290,2335,2385,1393,2329,690,873,1286,701,718
"ENSMUSG00000037432.16",294,404,381,80,80,126,84,107,114,66,153,53,108,72,110,42
"ENSMUSG00000001143.14",945,1150,1287,424,364,422,589,613,630,267,535,309,372,399,425,220
"ENSMUSG00000037408.11",352,370,301,73,58,108,174,169,229,107,135,76,63,117,143,62
"ENSMUSG00000001138.14",1332,1295,837,433,403,453,702,727,1005,353,704,122,197,176,340,237
"ENSMUSG00000067653.13",57,67,24,10,3,12,13,17,14,25,54,16,12,13,3,8
"ENSMUSG00000109510.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000079610.10",322,302,304,63,54,49,68,79,94,92,213,90,96,56,92,42
"ENSMUSG00000026121.14",446,475,344,88,56,72,164,149,169,84,91,70,79,151,162,57
"ENSMUSG00000046337.18",6,10,1,1,1,0,3,1,2,0,1,0,0,3,0,0
"ENSMUSG00000061518.12",4535,5457,3112,3510,4328,3172,6723,5652,7094,2180,1993,2425,2677,2915,2478,1374
"ENSMUSG00000037351.10",2384,2806,2603,1713,1489,1417,2247,2363,2509,1045,1302,1253,1500,1488,2260,1206
"ENSMUSG00000102416.5",1,2,1,0,0,0,0,1,1,0,0,0,3,0,0,0
"ENSMUSG00000026117.11",446,565,628,344,515,242,497,439,427,196,181,375,444,395,413,272
"ENSMUSG00000026116.12",3856,4004,4690,566,463,483,2263,2111,2115,438,591,388,489,669,656,319
"ENSMUSG00000050122.20",29,40,69,9,14,2,13,9,13,28,1,11,32,23,12,4
"ENSMUSG00000026114.15",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026113.18",3138,3388,2978,438,299,312,682,660,669,588,1248,276,326,408,198,153
"ENSMUSG00000026112.8",1970,2178,3961,1554,1762,1854,3737,4337,4327,526,283,1027,1380,1811,1145,816
"ENSMUSG00000026111.16",707,743,1099,573,539,513,877,844,1056,221,234,548,606,686,324,219
"ENSMUSG00000026110.16",263,255,1155,44,19,26,86,93,133,31,47,52,66,172,35,7
"ENSMUSG00000026090.17",34,20,18,2,6,0,5,9,10,17,3,0,7,1,0,2
"ENSMUSG00000060771.16",165,175,553,32,43,44,93,80,116,43,37,7,25,41,7,12
