"","SRR13842739","SRR13842740","SRR13842741","SRR13842742","SRR13842743","SRR13842744","SRR13842745","SRR13842746","SRR13842747","SRR13842748","SRR13842749","SRR13842750","SRR13842751","SRR13842752","SRR13842753","SRR13884080","SRR13884092","SRR13884104"
"ENSMUSG00000030990.19",7.617969,7.552458,7.518287,7.562352,7.545067,7.678334,7.480663,7.419466,7.658537,7.654371,7.426995,7.425062,7.576967,7.84947,7.725454,7.367264,7.36471,7.626982
"ENSMUSG00000073982.12",8.248026,8.255859,7.747896,8.278719,7.828998,8.862462,7.840477,8.433839,8.139936,8.822432,7.526657,7.493928,7.963344,8.595741,8.730216,8.218863,8.376756,8.334368
"ENSMUSG00000030987.6",10.11777,10.17844,9.781554,10.27321,10.25513,10.31707,9.954394,10.13102,10.31485,10.20705,9.966286,10.08147,10.17783,10.01358,10.31068,10.25125,10.15625,10.1895
"ENSMUSG00000030978.11",8.139082,7.61953,7.837558,7.933679,7.478757,7.951417,7.882942,7.846819,7.961233,7.865961,7.93905,7.887694,7.91179,7.823969,7.798208,7.985893,8.039972,8.082358
"ENSMUSG00000044814.7",4.046742,4.413929,3.554241,3.554241,4.255978,4.061188,4.671553,4.225903,4.24425,4.203252,4.296805,4.711011,4.35757,3.554241,3.554241,3.983682,4.036689,3.808137
"ENSMUSG00000043925.8",4.082414,4.295232,4.242636,4.533897,4.572999,3.589913,3.589913,3.928011,3.589913,4.05075,4.494543,3.589913,4.393242,3.589913,4.276889,3.754917,3.785971,3.416966
"ENSMUSG00000044824.10",3.969856,4.121957,3.620764,4.441815,4.903864,4.127711,4.052093,4.292426,3.620764,4.269775,4.975081,4.21065,4.743063,4.667236,3.620764,3.947924,3.991519,4.045019
"ENSMUSG00000030966.14",6.180274,6.26675,6.322604,6.080403,5.407062,6.120399,6.35784,5.74516,5.897274,6.198685,6.928267,6.235673,6.384872,6.019956,5.407062,6.126122,5.737268,5.91129
"ENSMUSG00000073975.4",6.077042,5.585442,6.699178,4.487179,6.419374,5.318474,5.847042,5.50225,5.854299,4.367683,4.895796,5.821255,5.027839,6.183522,4.438329,5.504502,5.066908,5.420113
"ENSMUSG00000073974.5",4.183319,5.343829,4.34354,4.364158,5.336091,4.404154,4.641596,4.687495,4.657764,3.690818,3.690818,4.69902,4.494147,3.690818,3.690818,4.576095,4.121039,4.355613
"ENSMUSG00000073973.5",4.082257,3.589756,4.702206,3.589756,4.572842,3.589756,4.197518,4.261417,4.279764,3.589756,3.589756,3.589756,4.161415,4.45024,3.589756,3.47263,4.108353,3.879802
"ENSMUSG00000073972.3",3.67824,3.329147,3.98187,3.329147,3.827771,3.329147,3.329147,3.329147,3.329147,3.329147,3.329147,3.329147,3.329147,4.189632,3.329147,3.305696,3.305696,3.305696
"ENSMUSG00000073971.4",3.594199,3.961386,4.751954,4.045682,4.467472,3.608645,3.843373,4.043367,3.59191,3.101698,4.257629,3.930309,3.905027,4.14817,3.101698,3.421674,3.421674,3.421674
"ENSMUSG00000073970.2",3.261792,3.261792,3.261792,3.261792,3.261792,3.261792,3.261792,3.59989,3.261792,3.261792,3.261792,3.261792,3.261792,3.261792,3.261792,3.261196,3.261196,3.261196
"ENSMUSG00000073969.4",3.66768,4.178276,3.971311,3.318588,4.17395,4.187957,3.318588,3.901558,4.008597,3.318588,4.061152,3.908474,3.318588,3.318588,3.318588,3.437358,3.437358,3.437358
"ENSMUSG00000073968.5",6.710872,6.31366,6.713304,6.785905,6.846671,6.419527,6.72884,6.607797,7.062254,6.509933,6.685122,6.920597,6.821117,6.822843,6.938145,6.639522,6.604938,6.698366
"ENSMUSG00000073967.4",3.922048,3.93074,3.429547,3.429547,4.284909,3.429547,3.860877,3.767645,4.119556,3.429547,3.429547,4.258159,3.429547,3.429547,3.429547,3.333695,3.702701,3.907645
"ENSMUSG00000070423.7",4.446543,4.755894,4.918244,4.972223,5.04573,5.02998,4.798766,4.332206,4.328608,4.865704,4.717503,4.487262,4.343219,4.435235,4.322987,4.593829,4.176412,4.64817
"ENSMUSG00000066273.7",3.687088,4.197684,4.450446,3.337995,3.337995,3.337995,3.337995,3.676093,3.337995,3.337995,3.337995,3.927881,3.337995,3.95089,3.337995,3.414975,3.414975,3.414975
"ENSMUSG00000066272.6",4.315424,3.542212,3.542212,3.542212,3.542212,3.542212,4.283887,4.125181,4.032424,3.542212,4.070149,3.542212,3.542212,3.542212,4.229188,3.706283,3.749879,3.636602
"ENSMUSG00000043366.17",4.254077,3.910217,4.521474,4.555493,4.692124,4.408061,4.359802,4.405702,4.099033,4.058034,4.763341,4.237635,3.980683,4.269509,4.747473,4.197252,3.950614,4.296522
"ENSMUSG00000110008.6",3.373625,3.373625,3.373625,3.373625,4.075362,3.373625,3.373625,3.373625,3.373625,3.373625,3.373625,4.381828,3.373625,3.98652,3.373625,3.898986,3.316269,3.316269
"ENSMUSG00000073966.4",3.681132,3.332039,3.332039,3.332039,3.332039,3.332039,3.332039,3.8091,3.822251,3.332039,3.332039,3.921925,3.332039,3.944934,3.332039,3.614872,3.276922,3.684094
"ENSMUSG00000048469.7",4.050012,4.37634,3.929522,3.755064,3.775423,3.783747,3.884562,3.859769,3.2768,3.2768,3.2768,3.866685,3.848459,3.2768,3.2768,3.788525,4.022241,3.205807
"ENSMUSG00000060888.5",3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.259693,3.308891,3.308891,3.308891
"ENSMUSG00000073965.2",3.170507,3.170507,3.170507,3.843848,4.02587,3.170507,3.170507,3.647568,3.660719,3.170507,3.913071,3.170507,3.973836,3.170507,3.170507,3.266741,3.266741,3.266741
"ENSMUSG00000062142.6",3.258843,3.258843,3.258843,3.258843,3.258843,3.258843,3.258843,3.258843,3.749055,3.258843,3.78678,3.258843,3.258843,3.258843,3.258843,3.309877,3.309877,3.309877
"ENSMUSG00000073964.4",3.379246,3.030154,3.682877,4.486823,5.472545,4.761598,3.030154,3.507215,5.732643,3.490992,4.696691,3.62004,4.958114,4.68459,3.030154,4.039377,3.677464,4.283651
